iter	Passed	Remaining
0	4	4489
1	10	5479
2	17	5684
3	24	6061
4	31	6225
5	38	6372
6	45	6484
7	53	6655
8	61	6809
9	69	6891
10	78	7024
11	86	7081
12	93	7134
13	101	7139
14	108	7126
15	115	7110
16	123	7118
17	130	7102
18	138	7143
19	146	7189
20	155	7228
21	162	7223
22	170	7225
23	177	7219
24	185	7227
25	192	7214
26	200	7209
27	207	7198
28	214	7193
29	222	7186
30	229	7162
31	237	7176
32	244	7171
33	253	7195
34	261	7205
35	269	7216
36	277	7217
37	286	7241
38	293	7229
39	301	7237
40	309	7231
41	316	7223
42	323	7209
43	331	7210
44	338	7192
45	346	7189
46	354	7179
47	361	7174
48	369	7165
49	377	7163
50	384	7153
51	393	7174
52	401	7168
53	409	7176
54	417	7173
55	425	7173
56	432	7163
57	441	7164
58	449	7164
59	457	7168
60	465	7170
61	474	7179
62	482	7174
63	490	7178
64	498	7166
65	506	7165
66	513	7150
67	521	7142
68	528	7127
69	535	7118
70	543	7109
71	550	7097
72	558	7086
73	565	7072
74	572	7065
75	579	7042
76	587	7038
77	594	7030
78	602	7026
79	610	7017
80	618	7015
81	624	6992
82	632	6986
83	639	6968
84	646	6959
85	654	6952
86	662	6947
87	670	6943
88	676	6928
89	684	6921
90	692	6917
91	713	7038
92	720	7027
93	727	7013
94	735	7002
95	742	6988
96	749	6977
97	756	6965
98	764	6957
99	771	6942
100	778	6932
101	784	6910
102	791	6889
103	796	6865
104	802	6841
105	808	6821
106	814	6800
107	820	6777
108	826	6756
109	832	6734
110	839	6719
111	844	6697
112	850	6676
113	857	6662
114	863	6642
115	871	6638
116	878	6627
117	884	6613
118	891	6601
119	898	6585
120	905	6574
121	911	6556
122	917	6541
123	924	6529
124	929	6509
125	936	6498
126	943	6482
127	949	6467
128	955	6452
129	961	6436
130	968	6425
131	975	6413
132	981	6400
133	988	6385
134	994	6372
135	1000	6357
136	1006	6341
137	1013	6327
138	1020	6318
139	1027	6312
140	1035	6306
141	1040	6288
142	1048	6284
143	1055	6276
144	1063	6272
145	1072	6272
146	1081	6272
147	1088	6267
148	1095	6258
149	1103	6254
150	1110	6242
151	1116	6229
152	1123	6217
153	1130	6208
154	1136	6197
155	1143	6186
156	1150	6178
157	1156	6164
158	1162	6150
159	1168	6136
160	1175	6128
161	1182	6116
162	1188	6104
163	1194	6091
164	1200	6077
165	1207	6068
166	1214	6056
167	1221	6049
168	1228	6039
169	1234	6028
170	1241	6019
171	1248	6009
172	1255	6001
173	1261	5989
174	1268	5979
175	1274	5967
176	1281	5957
177	1287	5945
178	1293	5934
179	1300	5922
180	1306	5912
181	1312	5900
182	1320	5893
183	1326	5881
184	1332	5871
185	1339	5859
186	1345	5850
187	1352	5839
188	1358	5827
189	1364	5818
190	1370	5806
191	1376	5794
192	1383	5783
193	1389	5772
194	1395	5759
195	1400	5745
196	1406	5734
197	1413	5726
198	1419	5713
199	1425	5703
200	1431	5691
201	1437	5680
202	1445	5673
203	1451	5663
204	1469	5698
205	1477	5696
206	1484	5685
207	1491	5677
208	1497	5669
209	1504	5658
210	1511	5651
211	1518	5643
212	1525	5635
213	1531	5625
214	1537	5613
215	1543	5604
216	1549	5592
217	1556	5584
218	1564	5577
219	1570	5566
220	1576	5557
221	1584	5552
222	1591	5544
223	1598	5538
224	1605	5531
225	1612	5522
226	1620	5517
227	1626	5508
228	1633	5499
229	1639	5490
230	1646	5481
231	1654	5476
232	1660	5467
233	1667	5459
234	1674	5451
235	1680	5441
236	1687	5432
237	1693	5422
238	1700	5415
239	1706	5404
240	1713	5395
241	1719	5386
242	1725	5375
243	1732	5366
244	1738	5356
245	1744	5347
246	1751	5338
247	1757	5328
248	1763	5319
249	1770	5310
250	1776	5299
251	1782	5290
252	1788	5280
253	1794	5270
254	1800	5260
255	1806	5250
256	1813	5241
257	1818	5231
258	1825	5223
259	1832	5216
260	1839	5208
261	1846	5202
262	1852	5192
263	1860	5186
264	1866	5176
265	1872	5167
266	1878	5158
267	1884	5148
268	1891	5140
269	1898	5132
270	1904	5122
271	1911	5115
272	1917	5105
273	1923	5097
274	1930	5088
275	1936	5079
276	1942	5070
277	1948	5061
278	1955	5053
279	1961	5044
280	1968	5036
281	1974	5027
282	1980	5017
283	1986	5008
284	1993	5000
285	1999	4991
286	2005	4982
287	2011	4973
288	2018	4966
289	2024	4957
290	2030	4948
291	2037	4939
292	2043	4930
293	2050	4924
294	2057	4916
295	2064	4909
296	2071	4902
297	2077	4894
298	2085	4890
299	2092	4883
300	2101	4880
301	2108	4873
302	2116	4868
303	2124	4863
304	2132	4858
305	2139	4851
306	2146	4844
307	2152	4836
308	2159	4828
309	2165	4820
310	2171	4811
311	2178	4804
312	2184	4795
313	2191	4787
314	2197	4778
315	2203	4769
316	2210	4761
317	2216	4753
318	2222	4744
319	2228	4735
320	2234	4726
321	2241	4720
322	2248	4713
323	2257	4710
324	2263	4702
325	2271	4695
326	2277	4687
327	2284	4680
328	2292	4674
329	2298	4665
330	2304	4657
331	2310	4649
332	2317	4641
333	2323	4633
334	2330	4625
335	2336	4617
336	2342	4608
337	2348	4600
338	2355	4592
339	2360	4582
340	2368	4578
341	2375	4569
342	2381	4561
343	2388	4554
344	2394	4546
345	2401	4539
346	2407	4530
347	2413	4522
348	2420	4514
349	2426	4506
350	2433	4498
351	2439	4491
352	2460	4508
353	2466	4500
354	2472	4493
355	2479	4485
356	2486	4478
357	2493	4471
358	2500	4464
359	2506	4456
360	2514	4450
361	2521	4443
362	2527	4436
363	2533	4427
364	2540	4419
365	2546	4410
366	2552	4402
367	2558	4393
368	2564	4385
369	2570	4376
370	2576	4368
371	2582	4359
372	2588	4350
373	2594	4342
374	2600	4334
375	2607	4326
376	2613	4318
377	2619	4311
378	2626	4304
379	2633	4296
380	2640	4289
381	2646	4282
382	2653	4274
383	2659	4266
384	2666	4258
385	2672	4251
386	2678	4243
387	2685	4235
388	2691	4227
389	2697	4219
390	2704	4212
391	2710	4204
392	2718	4198
393	2724	4190
394	2731	4183
395	2737	4175
396	2743	4167
397	2751	4161
398	2758	4154
399	2765	4147
400	2771	4140
401	2778	4132
402	2785	4126
403	2791	4118
404	2799	4112
405	2806	4105
406	2814	4100
407	2821	4093
408	2827	4085
409	2834	4079
410	2841	4071
411	2848	4065
412	2854	4057
413	2861	4050
414	2868	4043
415	2875	4037
416	2881	4029
417	2888	4021
418	2895	4015
419	2902	4007
420	2908	4000
421	2915	3993
422	2921	3985
423	2928	3977
424	2934	3970
425	2941	3962
426	2946	3954
427	2952	3946
428	2958	3938
429	2964	3930
430	2970	3922
431	2976	3914
432	2983	3906
433	2989	3899
434	2996	3892
435	3002	3884
436	3009	3876
437	3015	3868
438	3022	3862
439	3028	3854
440	3035	3847
441	3042	3840
442	3048	3833
443	3055	3826
444	3062	3818
445	3069	3812
446	3075	3804
447	3082	3797
448	3088	3789
449	3093	3781
450	3099	3773
451	3105	3765
452	3112	3757
453	3118	3750
454	3124	3742
455	3130	3734
456	3136	3726
457	3142	3719
458	3149	3712
459	3156	3704
460	3163	3698
461	3169	3690
462	3176	3683
463	3182	3676
464	3188	3668
465	3195	3662
466	3202	3654
467	3208	3647
468	3214	3640
469	3220	3632
470	3228	3625
471	3235	3618
472	3253	3625
